brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,570,560,29.482155280791396,0.317775679813767,0.007301999150980999,0.00154564280301,5,0.186182056319581,0.000700017483615,1.03163602650711e-06,0.793275019385645,0,0
0.02,0.5,0.01,580,570,24.4908747451478,0.31817167659501,0.007053279721966999,0.001544598397133,4,0.17558292282430202,0.0006984988826000001,9.52224937855052e-07,0.796360275489761,0,0
0.02,0.5,0.01,590,580,33.7656955080375,0.321724976044587,0.009283302267543,0.0015400952289770001,4,0.175494071146245,0.0006767443993340001,8.41145682820314e-07,0.8084932782708021,0,0
0.02,0.5,0.01,630,620,27.156435406216396,0.30730809997004305,0.0012998906324849999,0.0015455695372759998,5,0.17556650246305402,0.000684023596578,7.92762577128005e-07,0.801648814733994,0,0
0.02,0.5,0.01,640,630,21.363284811912102,0.31161784555368705,0.0017456288977370003,0.0015367291968279998,4,0.17032460042840697,0.0006766094093140001,7.492519009478159e-07,0.78766222858562,0,0
0.02,0.5,0.01,650,640,26.0336771300774,0.314165132797241,0.0021852832688389998,0.0015307650223889998,4,0.166981132075472,0.000662358802252,7.66702111695139e-07,0.7972756693145071,0,0
0.02,0.5,0.01,660,650,25.204484192207197,0.31454183378259803,0.0023715378433850002,0.0015372562716320002,4,0.17211554242573399,0.000681423143502,9.931354389997e-07,0.798492091601588,0,0
0.02,0.5,0.01,670,660,27.5599398162497,0.318282758677604,0.0012713422041230001,0.001548887399647,4,0.17992424242424201,0.0007026814225189999,1.07691770649425e-06,0.802315719796871,0,0
0.02,0.5,0.01,680,670,22.4693155726515,0.321427134955354,-7.21877770359302e-05,0.0015675291766020004,5,0.18678848832542397,0.0007184831782489999,9.319539282595241e-07,0.819141304016322,0,0
0.02,0.5,0.01,720,710,22.008108939891,0.325734048513166,0.001417486136,0.0015382859862049997,5,0.18182266009852202,0.0006759783404639999,7.77678299761933e-07,0.8067902281129609,0,0
0.02,0.5,0.01,740,730,23.7168059446728,0.32379786053367,0.0006743605036769999,0.001534234467918,4,0.18570961946758102,0.000690821608668,1.08838255793167e-06,0.797075529131552,0,0
0.02,0.5,0.01,750,740,25.630128949703398,0.322128754507912,0.000570382188082,0.0015439418337970003,4,0.1759670781893,0.0006924956595880001,9.71359980436757e-07,0.7760754116559281,0,0
0.02,0.5,0.01,760,750,28.5244081292588,0.3266928706738,0.00037165433770899994,0.001577217727361,5,0.19139375117635998,0.000754590771022,1.2006013910445e-06,0.8141221501331851,0,1
0.02,0.5,0.01,770,760,36.3325837617401,0.325191833842611,0.000668411790689,0.0015383383823620001,4,0.19052528227785998,0.0006751872379950001,7.03806427582581e-07,0.7992967040087199,0,0
0.02,0.5,0.01,810,800,24.777481659745497,0.32084596384743297,0.00032684495361,0.001549661991545,4,0.18029929287946,0.000699938229479,9.44436318612483e-07,0.7833958618612741,0,0
