,rg,mean_displacement,shape,density,clique_number,average_clustering,mean_closeness,mean_betweenness,assortativity
9589,0.3452590964649307,24.50875249312403,0.0016285958526431905,0.001514904327965134,5,0.0650467289719626,0.00031107262852720117,3.4603122036153554e-07,0.9250486417063116
9590,0.3428713477986506,24.3660588219028,0.003206897769211065,0.001512684619980611,4,0.0630574569591371,0.00030755042226716565,1.8395793122561818e-07,0.8794680989991744
9591,0.3439328214055091,25.673829900391365,6.956390642767612e-05,0.001546007078310102,4,0.0691765193943165,0.00034883720659611295,2.694187024249212e-07,0.8998165689769198
9592,0.349188916692077,24.26498097617701,-0.007481810799898734,0.0015060346131911873,4,0.05942299709422996,0.0002888749678840497,1.0496990106601336e-07,0.9007837494260345
9593,0.3471451045536007,24.382659130354643,-0.011955325847303824,0.0015203300937011936,3,0.07001239157372986,0.00031331920935795334,1.2629115477740094e-07,0.910377987719034
9594,0.3473440961639493,23.61165382493936,-0.013412768300100191,0.0015300877162354564,3,0.055936073059360734,0.00032439608846312557,1.8091586635340554e-07,0.8925975366556188
9595,0.347500969429954,31.69554331069577,-0.005063198591829762,0.0015095848564150767,4,0.07145820369218002,0.00029119027628041346,1.0815374434262069e-07,0.9231845718021338
9596,0.3474770195827661,26.36927779581561,0.009534583440401437,0.0015095848564150767,3,0.06015349512549264,0.000306034240564544,2.3851763261274383e-07,0.8916184628982252
9597,0.3473736211033098,25.72256832421242,0.02720439225527773,0.0014846062414058312,3,0.05752855659397714,0.00027543737129154,2.3359530562221303e-07,0.9115617312678644
9598,0.34474732990094664,25.224037201469546,0.023473782495699064,0.0015486575571915494,5,0.0672106295701801,0.00036284030035524986,3.08015979401139e-07,0.8872077040897426
9599,0.3488836784860635,24.030175073757228,0.009618138049731644,0.0015025015634771732,4,0.060937499999999985,0.00028638556069610424,1.3355108519796086e-07,0.8975931105944992
9600,0.3478728545255949,19.819090383510424,0.0073547689946326985,0.0014947056035922654,3,0.05358255451713397,0.0002756193312988119,1.153437401205118e-07,0.9167838375669888
9601,0.3520377607827101,20.41054304838595,0.006452213158810934,0.0015040280917643586,4,0.067601246105919,0.00029413506751783995,1.8707009952318304e-07,0.903941817639448
9602,0.35675589078120146,22.15212972661686,-0.0010989982533029905,0.0015212597829070019,5,0.06034735300272024,0.00030538592860460936,1.531649721356632e-07,0.8993797415584929
9603,0.3573227517408699,21.145049141249906,0.002745694969985439,0.001507191994996873,4,0.05416666666666666,0.00031042859597384283,2.43620660910566e-07,0.8747960862004581
